Listeria rocourtiae	0.9471	0.9419	0.01373	0.3787
Listeria marthii	0.9611	0.9408	0.01260	1.611
Listeria welshimeri	0.9612	0.9407	0.01259	1.628
Listeria weihenstephanensis	0.9443	0.9422	0.01379	0.1523
Listeria ivanovii subsp. ivanovii	0.9543	0.9413	0.01333	0.9752
Listeria monocytogenes	0.9274	0.9436	0.01306	1.240
Listeria innocua	0.9510	0.9416	0.01356	0.6932
Listeria fleischmannii	0.9269	0.9436	0.01300	1.285
Listeria newyorkensis	0.9397	0.9425	0.01378	0.2032
Listeria grayi	0.9369	0.9428	0.01371	0.4303
Listeria seeligeri	0.9532	0.9414	0.01341	0.8799
Listeria booriae	0.9256	0.9437	0.01286	1.407
Listeria ivanovii subsp. londoniensis	0.9214	0.9441	0.01229	1.847
