Rheinheimera tilapiae	0.9487	0.9453	0.008172	0.4161
Rheinheimera nanhaiensis	0.9485	0.9453	0.008177	0.3913
Rheinheimera soli	0.9467	0.9454	0.008208	0.1584
Rheinheimera baltica	0.9396	0.9459	0.008073	0.7804
Rheinheimera chironomi	0.9484	0.9453	0.00818	0.3790
Rheinheimera aquimaris	0.9506	0.9452	0.008107	0.6661
Rheinheimera tuosuensis	0.9348	0.9462	0.007739	1.473
Rheinheimera hassiensis	0.9318	0.9463	0.007419	1.954
Rheinheimera perlucida	0.9337	0.9462	0.007632	1.638
Rheinheimera longhuensis	0.9445	0.9455	0.00821	0.1218
Rheinheimera aquatica	0.9478	0.9453	0.008192	0.3052
Rheinheimera arenilitoris	0.9474	0.9454	0.008199	0.2439
Rheinheimera japonica	0.9582	0.9447	0.007532	1.792
Rheinheimera muenzenbergensis	0.9482	0.9453	0.008184	0.3543
Rheinheimera mesophila	0.9609	0.9445	0.007189	2.281
Rheinheimera texasensis	0.9489	0.9453	0.008167	0.4408
Rheinheimera tangshanensis	0.9345	0.9462	0.007711	1.517
