Serratia odorifera	0.9572	0.9583	0.009301	0.1183
Serratia marcescens subsp. sakuensis	0.9636	0.9579	0.00920	0.6196
Serratia ficaria	0.9680	0.9576	0.008955	1.161
Serratia ureilytica	0.9460	0.9590	0.008756	1.485
Serratia symbiotica	0.9504	0.9587	0.009084	0.9137
Serratia quinivorans	0.9723	0.9573	0.008566	1.751
Serratia liquefaciens	0.9588	0.9582	0.009303	0.06450
Serratia proteamaculans	0.9667	0.9577	0.009043	0.9952
Serratia nematodiphila	0.9574	0.9583	0.009302	0.09675
Serratia grimesii	0.9665	0.9577	0.009055	0.9718
Serratia myotis	0.9564	0.9583	0.009293	0.2045
Serratia marcescens subsp. marcescens	0.9533	0.9585	0.009218	0.5641
Serratia aquatilis	0.9439	0.9591	0.008543	1.779
Serratia fonticola	0.9522	0.9586	0.009175	0.6975
Serratia vespertilionis	0.9514	0.9586	0.009137	0.7880
Serratia rubidaea	0.9494	0.9588	0.009023	1.042
Serratia plymuthica	0.9760	0.9571	0.008096	2.334
