Undibacterium terreum	0.9436	0.9403	0.00690	0.4783
Undibacterium arcticum	0.9339	0.9413	0.006573	1.126
Undibacterium pigrum	0.9431	0.9403	0.006925	0.4043
Undibacterium parvum	0.9380	0.9409	0.006921	0.4190
Undibacterium seohonense	0.9485	0.9397	0.006403	1.374
Undibacterium danionis	0.9475	0.9398	0.006545	1.176
Undibacterium jejuense	0.9469	0.9399	0.006619	1.058
Undibacterium oligocarboniphilum	0.9437	0.9402	0.006894	0.5077
Undibacterium squillarum	0.9314	0.9416	0.006189	1.648
Undibacterium aquatile	0.9293	0.9418	0.005744	2.176
