Weissella fabalis	0.8978	0.9125	0.01825	0.8055
Weissella jogaejeotgali	0.9243	0.9110	0.01830	0.7268
Weissella viridescens	0.9252	0.9110	0.01827	0.7772
Weissella confusa	0.9277	0.9108	0.01815	0.9311
Weissella cibaria	0.9239	0.9110	0.01832	0.7041
Weissella kandleri	0.9042	0.9121	0.01847	0.4277
Weissella koreensis	0.9130	0.9116	0.01855	0.07547
Weissella diestrammenae	0.9072	0.9120	0.01852	0.2592
Weissella minor	0.9153	0.9115	0.01854	0.2050
Weissella soli	0.9139	0.9116	0.01855	0.1240
Weissella oryzae	0.9055	0.9121	0.01849	0.3569
Weissella fabaria	0.8985	0.9124	0.01828	0.7604
Weissella uvarum	0.9121	0.9117	0.01856	0.02155
Weissella halotolerans	0.8865	0.9131	0.01752	1.518
Weissella paramesenteroides	0.9277	0.9108	0.01815	0.9311
Weissella beninensis	0.9008	0.9123	0.01837	0.6260
Weissella ceti	0.8937	0.9127	0.01804	1.053
Weissella ghanensis	0.8815	0.9134	0.01705	1.871
Weissella hellenica	0.9637	0.9088	0.01363	4.028
